Date,Product,Region,Units Sold,Unit Price,Revenue,Month
2025-03-13,Widget A,North,9,81.86,736.74,2025-03
2025-06-18,Gadget X,East,36,55.37,1993.32,2025-06
2025-05-23,Widget B,South,50,61.15,3057.5,2025-05
2025-02-18,Widget A,East,41,61.08,2504.28,2025-02
2025-02-02,Widget A,South,12,77.25,927.0,2025-02
2025-02-12,Widget A,West,44,14.15,622.6,2025-02
2025-01-28,Widget B,West,3,29.64,88.92,2025-01
2025-06-07,Gadget X,South,50,25.69,1284.5,2025-06
2025-04-15,Gadget X,East,7,74.13,518.91,2025-04
2025-03-05,Gadget Y,East,15,88.79,1331.85,2025-03
2025-05-30,Gadget Y,East,45,10.13,455.85,2025-05
2025-06-25,Widget B,East,35,53.33,1866.55,2025-06
2025-03-28,Gadget Y,East,1,36.21,36.21,2025-03
2025-04-17,Widget B,West,41,50.14,2055.74,2025-04
2025-04-14,Widget A,South,26,79.82,2075.32,2025-04
2025-05-21,Widget B,West,21,77.24,1622.04,2025-05
2025-06-02,Gadget X,North,6,67.74,406.44,2025-06
2025-01-23,Widget A,North,24,32.59,782.16,2025-01
2025-01-15,Widget B,East,44,90.33,3974.52,2025-01
2025-04-23,Gadget X,East,50,65.98,3299.0,2025-04
2025-06-11,Widget B,East,20,82.87,1657.4,2025-06
2025-03-01,Gadget X,East,9,62.28,560.52,2025-03
2025-04-28,Widget A,North,37,89.32,3304.84,2025-04
2025-04-30,Widget A,West,25,47.54,1188.5,2025-04
2025-05-10,Widget B,South,2,56.24,112.48,2025-05
2025-04-18,Widget A,North,16,79.69,1275.04,2025-04
2025-01-17,Gadget Y,South,41,40.08,1643.28,2025-01
2025-02-13,Widget B,North,37,41.53,1536.61,2025-02
2025-05-30,Widget A,East,48,64.34,3088.32,2025-05
2025-02-27,Gadget X,East,46,79.34,3649.64,2025-02
2025-05-05,Widget A,South,37,94.7,3503.9,2025-05
2025-03-28,Gadget X,North,16,49.27,788.32,2025-03
2025-05-02,Gadget X,East,1,35.2,35.2,2025-05
2025-01-05,Widget B,South,11,30.33,333.63,2025-01
2025-03-16,Gadget X,North,41,37.5,1537.5,2025-03
2025-03-20,Widget B,North,47,97.91,4601.77,2025-03
2025-05-12,Gadget X,East,1,70.35,70.35,2025-05
2025-01-28,Widget B,North,27,67.54,1823.58,2025-01
2025-02-23,Gadget X,South,26,27.56,716.56,2025-02
2025-03-18,Gadget Y,East,47,61.31,2881.57,2025-03
2025-04-10,Gadget X,East,50,46.43,2321.5,2025-04
2025-03-19,Widget A,West,46,22.23,1022.58,2025-03
2025-04-07,Widget A,West,16,66.87,1069.92,2025-04
2025-03-28,Widget A,West,15,81.19,1217.85,2025-03
2025-06-08,Gadget X,South,29,98.28,2850.12,2025-06
2025-02-23,Widget A,South,10,68.12,681.2,2025-02
